Year,Month,StartLine,ColLength,Format
1989,4,50,81,
1989,5,50,81,
1989,6,50,81,
1989,7,50,81,
1989,8,50,81,
1989,9,50,81,
1989,10,50,81,
1989,11,50,81,
1989,12,50,81,
1990,1,50,81,
1990,2,50,81,
1990,3,50,81,
1990,4,50,81,
1990,5,50,81,
1990,6,50,81,
1990,7,50,81,
1990,8,50,81,
1990,9,50,81,
1990,10,50,81,
1990,11,50,81,
1990,12,50,81,
1991,1,50,81,
1991,2,50,81,
1991,3,50,81,
1991,4,50,81,
1991,5,50,81,
1991,6,50,81,
1991,7,50,81,
1991,8,50,81,
1991,9,50,81,
1991,10,50,81,
1991,11,50,81,
1991,12,50,81,
1992,1,50,81,
1992,2,50,81,
1992,3,50,81,
1992,4,50,81,
1992,5,50,81,
1992,6,50,81,
1992,7,50,81,
1992,8,50,81,
1992,9,50,81,
1992,10,50,81,
1992,11,50,81,
1992,12,50,81,
1993,1,50,81,
1993,2,50,81,
1993,3,50,81,
1993,4,50,81,
1993,5,50,81,
1993,6,50,81,
1993,7,50,81,
1993,8,50,81,
1993,9,50,81,
1993,10,50,81,
1993,11,50,81,
1993,12,50,81,
1994,1,50,81,
1994,2,50,81,
1994,3,50,81,
1994,4,50,81,
1994,5,50,81,
1994,6,50,81,
1994,7,50,81,
1994,8,50,81,
1994,9,50,81,
1994,10,50,81,
1994,11,50,81,
1994,12,50,81,
1995,1,50,81,
1995,2,50,81,
1995,3,50,81,
1995,4,50,81,
1995,5,50,81,
1995,6,50,81,
1995,7,50,81,
1995,8,50,81,
1995,9,50,81,
1995,10,50,81,
1995,11,50,81,
1995,12,50,81,
1996,1,50,81,
1996,2,50,81,
1996,3,50,81,
1996,4,50,81,
1996,5,50,81,
1996,6,50,81,
1996,7,50,81,
1996,8,50,81,
1996,9,50,81,
1996,10,50,81,
1996,11,50,81,
1996,12,50,81,
1997,1,50,81,
1997,2,50,81,
1997,3,50,81,
1997,4,50,81,
1997,5,50,81,
1997,6,50,81,
1997,7,50,81,
1997,8,50,81,
1997,9,50,81,
1997,10,50,81,
1997,11,50,81,
1997,12,50,81,
1998,1,50,81,
1998,2,50,81,
1998,3,50,81,
1998,4,50,81,
1998,5,50,81,
1998,6,50,81,
1998,7,50,81,
1998,8,50,81,
1998,9,50,81,
1998,10,50,81,
1998,11,50,81,
1998,12,50,81,
1999,1,50,81,
1999,2,50,81,
1999,3,50,81,
1999,4,50,81,
1999,5,50,81,
1999,6,50,81,
1999,7,50,81,
1999,8,50,81,
1999,9,50,81,
1999,10,50,81,
1999,11,50,81,
1999,12,50,81,
2000,1,50,81,
2000,2,50,81,
2000,3,50,81,
2000,4,50,81,
2000,5,50,81,
2000,6,50,81,
2000,7,50,81,
2000,8,50,81,
2000,9,50,81,
2000,10,50,81,
2000,11,50,81,
2000,12,50,81,
2001,1,50,81,
2001,2,50,81,
2001,3,50,81,
2001,4,50,81,
2001,5,50,81,
2001,6,50,81,
2001,7,50,81,
2001,8,50,81,
2001,9,50,81,
2001,10,50,81,
2001,11,50,81,
2001,12,50,81,
2002,1,50,81,
2002,2,50,81,
2002,3,50,81,
2002,4,50,81,
2002,5,50,81,
2002,6,50,81,
2002,7,49,7011,7011
2002,8,49,7011,7011
2002,9,50,81,
2002,10,49,7011,7011
2002,11,49,7011,7011
2002,12,50,81,
2003,1,50,81,
2003,2,52,7011,7011
2003,3,51,7011,7011
2003,4,52,7011,7011
2003,5,52,7011,7011
2003,6,50,81,81
2003,7,50,81,
2003,8,50,81,81
2003,9,51,81,
2003,10,50,111,
2003,11,51,102,
2003,12,49,94,
2004,1,50,88,
2004,2,50,83,
2004,3,50,83,
2004,4,50,80,
2004,5,42,81,
2004,6,42,81,
2004,7,42,81,
2004,8,42,81,
2004,9,42,81,
2004,10,42,81,
2004,11,42,81,
2004,12,42,81,
2005,1,42,81,
2005,2,42,81,
2005,3,73,81,
2005,4,42,81,
2005,5,42,81,
2005,6,42,81,
2005,7,42,81,
2005,8,42,86,
2005,9,51,81,
2005,10,51,81,
2005,11,51,81,
2005,12,42,81,
2006,1,42,81,
2006,2,42,81,
2006,3,42,81,
2006,4,47,81,
2006,5,42,81,
2006,6,42,81,
2006,7,42,81,
2006,8,50,93,
2006,9,42,80,
2006,10,42,81,
2006,11,41,75,
2006,12,42,69,
2007,1,42,72,
2007,2,42,71,
2007,3,42,75,
2007,4,42,80,
2007,5,42,75,
2007,6,42,76,
2007,7,42,77,
2007,8,42,70,1
2007,9,42,78,
2007,10,43,76,
2007,11,42,80,15
2007,12,42,81,
2008,1,43,72,
2008,2,43,72,
2008,3,42,74,
2008,4,42,81,
2008,5,42,81,
2008,6,44,76,
2008,7,44,76,
2008,8,43,79,
2008,9,42,82,
2008,10,43,81,
2008,11,44,93,15
2008,12,43,89,15
2009,2,43,91,15
2009,3,41,99,200903
2009,4,42,81,
2009,5,43,81,
2009,6,44,77,
2009,7,43,79,
2009,8,45,76,
2009,9,43,81,
2009,10,47,83,
2009,11,43,82,
2009,12,41,83,
2010,1,42,82,201011
2010,2,43,83,
2010,3,42,81,
2010,4,42,81,
2010,5,43,81,
2010,6,45,82,
2010,7,44,83,
2010,8,43,82,
2010,9,42,82,
2010,10,42,83,
2010,11,42,80,15
2010,12,42,81,
2011,1,42,80,
2011,2,42,83,
2011,3,43,81,
2011,4,43,81,
2011,5,43,81,
2011,6,44,80,15
2011,7,43,80,15
2011,8,44,80,15
2011,9,43,80,15
2011,10,42,80,15
2011,11,43,80,15
2011,12,42,80,15
2012,1,42,80,15
2012,2,43,80,15
2012,3,42,81,
2012,4,43,80,15
2012,5,43,80,15
2012,6,43,80,15
2012,7,44,80,15
2012,8,44,80,15
2012,9,42,81,
2012,10,43,80,15
2012,11,42,80,15
2012,12,42,81,
2013,1,42,80,15
2013,2,42,80,15
2013,3,43,80,15
2013,4,41,80,15
2013,5,44,75,201305
2013,6,42,75,201305
2013,7,41,80,15
2013,8,42,80,15
2013,9,42,81,201309
2013,10,43,83,201310
2013,11,42,81,201310
2013,12,42,82,201310
2014,1,43,80,
2014,2,43,80,
2014,3,44,81,
2014,4,44,80,
2014,5,43,81,
2014,6,44,81,
2014,7,44,81,
2014,8,43,81,
2014,9,44,83,
2014,10,43,83,
2014,11,42,83,
2014,12,42,83,
2015,1,42,82,999
2015,2,43,83,999
2015,3,43,83,
2015,4,43,82,
2015,5,44,83,
2015,6,43,83,
2015,7,42,83,
2015,8,42,83,
2015,9,42,83,
2015,10,43,83,
2015,11,43,83,
2015,12,43,83,
2016,1,43,0,
2016,2,44,0,
2016,3,43,0,
2016,4,43,0,
2016,5,42,0,
2016,6,45,0,
2016,7,47,0,
2016,8,47,0,
2016,9,47,0,
2016,10,47,0,
2016,11,47,0,
2016,12,47,0,
2017,1,47,0,
2017,2,47,0,
