Date,Mean Temperature (C),Temperature Count,Mean Pressure (mbar),Pressure Count,Mean Precipitation (mm),Sum Precipitation (mm),Precipitation Count,Mean Sea Surface Temperature (C),Sea Surface Temperature Count,Mean Windspeed (knots),Windspeed Count
1974-01-01,,,,,,,,,,,
1974-02-01,,,,,,,,,,,
1974-03-01,,,,,,,,,,,
1974-04-01,,,,,,,,,,,
1974-05-01,-3.5,,,,,,,,,,
1974-06-01,-3.2,,,,,,,,,,
1974-07-01,-5.8,,,,,,,,,,
1974-08-01,-5.8,,,,,,,,,,
1974-09-01,-6.5,,,,,,,,,,
1974-10-01,-1.7,,,,,,,,,,
1974-11-01,0.0,,,,,,,,,,
1974-12-01,1.1,,,,,,,,,,
1975-01-01,3.0,,,,,,,,,,
1975-02-01,2.0,,,,,,,,,,
1975-03-01,1.0,,,,,,,,,,
1975-04-01,1.0,,,,,,,,,,
1975-05-01,-3.0,,,,,,,,,,
1975-06-01,-6.0,,,,,,,,,,
1975-07-01,-7.0,,,,,,,,,,
1975-08-01,-8.0,,,,,,,,,,
1975-09-01,-4.0,,,,,,,,,,
1975-10-01,-1.0,,,,,,,,,,
1975-11-01,-2.0,,,,,,,,,,
1975-12-01,0.0,,,,,,,,,,
1976-01-01,1.0,,,,,,,,,,
1976-02-01,2.0,,,,,,,,,,
1976-03-01,0.0,,,,,,,,,,
1976-04-01,-1.0,,,,,,,,,,
1976-05-01,-5.0,,,,,,,,,,
1976-06-01,-9.0,,,,,,,,,,
1976-07-01,-12.0,,,,,,,,,,
1976-08-01,-16.0,,,,,,,,,,
1976-09-01,-9.0,,,,,,,,,,
1976-10-01,-4.0,,,,,,,,,,
1976-11-01,0.0,,,,,,,,,,
1976-12-01,1.0,,,,,,,,,,
1977-01-01,2.0,,,,,,,,,,
1977-02-01,1.0,,,,,,,,,,
1977-03-01,1.0,,,,,,,,,,
1977-04-01,-1.0,,,,,,,,,,
1977-05-01,-5.0,,,,,,,,,,
1977-06-01,-7.0,,,,,,,,,,
1977-07-01,-14.0,,,,,,,,,,
1977-08-01,,,,,,,,,,,
1977-09-01,-11.4,,,,,,,,,,
1977-10-01,-8.9,,,,,,,,,,
1977-11-01,-2.2,,,,,,,,,,
1977-12-01,0.0,,,,,,,,,,
1978-01-01,1.0,,,,,,,,,,
1978-02-01,0.7,,,,,,,,,,
1978-03-01,-0.6,,,,,,,,,,
1978-04-01,-3.0,,,,,,,,,,
1978-05-01,-2.5,,,,,,,,,,
1978-06-01,-4.9,,,,,,,,,,
1978-07-01,-14.9,,,,,,,,,,
1978-08-01,-11.9,,,,,,,,,,
1978-09-01,-5.8,,,,,,,,,,
1978-10-01,-4.0,,,,,,,,,,
1978-11-01,-1.9,,,,,,,,,,
1978-12-01,1.0,,,,,,,,,,
1979-01-01,2.0,,,,,,,,,,
1979-02-01,2.0,,,,,,,,,,
1979-03-01,1.0,,,,,,,,,,
1979-04-01,-1.0,,,,,,,,,,
1979-05-01,-5.0,,,,,,,,,,
1979-06-01,-6.0,,,,,,,,,,
1979-07-01,-7.0,,,,,,,,,,
1979-08-01,-7.0,,,,,,,,,,
1979-09-01,-5.0,,,,,,,,,,
1979-10-01,-4.0,,,,,,,,,,
1979-11-01,0.0,,,,,,,,,,
1979-12-01,1.7,,,,,,,,,,
1980-01-01,1.9,,,,,,,,,,
1980-02-01,2.2,,,,,,,,,,
1980-03-01,-1.5,,,,,,,,,,
1980-04-01,-4.7,,,,,,,,,,
1980-05-01,-3.7,,,,,,,,,,
1980-06-01,-9.3,,,,,,,,,,
1980-07-01,-12.6,,,,,,,,,,
1980-08-01,-13.7,,,,,,,,,,
1980-09-01,-7.2,,,,,,,,,,
1980-10-01,-4.0,,,,,,,,,,
1980-11-01,-2.0,,,,,,,,,,
1980-12-01,0.5,,,,,,,,,,
1981-01-01,1.6,,,,,,,,,,
1981-02-01,1.1,,,,,,,,,,
1981-03-01,0.0,,,,,,,,,,
1981-04-01,-1.8,,,,,,,,,,
1981-05-01,-5.2,,,,,,,,,,
1981-06-01,-6.3,,,,,,,,,,
